Time,AM23,AM20,AM24,AM6,AM25,AM26,AM12,AM21,AM27
2023-11-10 14:58:13,     0,     0,     0,   126,     0,     0,     0,     0,     0
2023-11-10 15:58:14,  -343,   711, -2450,   128,     0,     0,  2045,   775,  2175
2023-11-10 16:58:15,  -343,   708, -2450,    91,     0,     0,  1695,   671,  2121
2023-11-10 17:58:15,  -343,   706, -2450,    91,     0,     0,  1449,   629,  2085
2023-11-10 18:58:16,  -345,   708, -2450,    93,     0,     0,  1266,   529,  2067
2023-11-10 19:58:17,  -343,   707, -2450,    93,     0,     0,  1266,   529,  2049
2023-11-10 20:58:18,  -343,   707, -2450,    94,     0,     0,  1267,   559,  2031
2023-11-10 21:58:19,  -343,   707, -2450,    96,     0,     0,  1266,   503,  2031
2023-11-10 22:58:20,  -343,   709, -2450,    98,     0,     0,  1124,   503,  2031
2023-11-10 23:58:21,  -343,   708, -2450,    98,     0,     0,  1125,   457,  2031
2023-11-11 00:58:22,  -343,   710, -2450,    98,     0,     0,   917,   386,  2031
2023-11-11 01:58:22,  -343,   712, -2450,    99,     0,     0,   776,   372,  2049
2023-11-11 02:58:23,  -343,   711, -2450,    99,     0,     0,   840,   386,  2067
2023-11-11 03:58:24,  -343,   710, -2450,    99,     0,     0,   840,   346,  2085
2023-11-11 04:58:25,  -343,   710, -2450,    99,     0,     0,   840,   359,  2103
2023-11-11 05:58:26,  -345,   712, -2450,   103,     0,     0,   917,   402,  2121
2023-11-11 06:58:27,  -343,   712, -2450,   106,     0,     0,  1266,   529,  2139
2023-11-11 07:58:27,  -343,   714, -2450,   104,     0,     0,  1449,   629,  2157
2023-11-11 08:58:28,  -343,   711, -2450,   104,     0,     0,  2041,   775,  2139
2023-11-11 09:58:29,  -343,   710, -2450,   106,     0,     0,  1695,   840,  2121
2023-11-11 10:58:30,  -343,   711, -2450,   104,     0,     0,  1695,   775,  2085
2023-11-11 11:58:31,  -343,   712, -2450,   104,     0,     0,  1695,   720,  2067
2023-11-11 12:58:31,  -343,   713, -2450,   101,     0,     0,  1695,   719,  2049
2023-11-11 13:58:32,  -343,   713, -2450,   101,     0,     0,  1449,   719,  2031
